device_id,request_id,device_time_us,host_send_monotonic_ns,host_receive_monotonic_ns,host_midpoint_monotonic_ns,round_trip_ns
cam01,frame_0000000203,22452714,639150671000000,639150671000000,639150671000000,0
cam01,frame_0000000204,22560770,639150765000000,639150765000000,639150765000000,0
cam01,frame_0000000205,22668879,639150875000000,639150875000000,639150875000000,0
cam01,frame_0000000206,22740909,639150968000000,639150968000000,639150968000000,0
cam01,frame_0000000207,22848926,639151078000000,639151078000000,639151078000000,0
cam01,frame_0000000208,22956982,639151171000000,639151171000000,639151171000000,0
cam01,frame_0000000209,23065040,639151265000000,639151265000000,639151265000000,0
cam01,frame_0000000210,23173083,639151375000000,639151375000000,639151375000000,0
cam01,frame_0000000211,23245120,639151468000000,639151468000000,639151468000000,0
cam01,frame_0000000212,23353180,639151578000000,639151578000000,639151578000000,0
cam01,frame_0000000213,23461228,639151671000000,639151671000000,639151671000000,0
cam01,frame_0000000214,23569275,639151765000000,639151765000000,639151765000000,0
imu01,i000016,30117537,639151859000000,639151859000000,639151859000000,0
cam01,frame_0000000215,23641337,639151875000000,639151875000000,639151875000000,0
cam01,frame_0000000216,23749370,639151968000000,639151968000000,639151968000000,0
cam01,frame_0000000217,23857426,639152078000000,639152078000000,639152078000000,0
cam01,frame_0000000218,23965478,639152171000000,639152171000000,639152171000000,0
cam01,frame_0000000219,24073540,639152265000000,639152265000000,639152265000000,0
cam01,frame_0000000220,24145567,639152375000000,639152375000000,639152375000000,0
cam01,frame_0000000221,24253628,639152468000000,639152468000000,639152468000000,0
cam01,frame_0000000222,24361686,639152578000000,639152578000000,639152578000000,0
cam01,frame_0000000223,24469738,639152671000000,639152671000000,639152671000000,0
cam01,frame_0000000224,24541789,639152765000000,639152765000000,639152765000000,0
cam01,frame_0000000225,24649897,639152875000000,639152875000000,639152875000000,0
cam01,frame_0000000226,24757869,639152968000000,639152968000000,639152968000000,0
cam01,frame_0000000227,24865918,639153078000000,639153078000000,639153078000000,0
cam01,frame_0000000228,24937952,639153171000000,639153171000000,639153171000000,0
cam01,frame_0000000229,25046013,639153265000000,639153265000000,639153265000000,0
cam01,frame_0000000230,25154066,639153375000000,639153375000000,639153375000000,0
cam01,frame_0000000231,25262220,639153468000000,639153468000000,639153468000000,0
cam01,frame_0000000232,25334231,639153578000000,639153578000000,639153578000000,0
cam01,frame_0000000233,25442230,639153671000000,639153671000000,639153671000000,0
cam01,frame_0000000234,25550283,639153765000000,639153765000000,639153765000000,0
imu01,i000017,32117531,639153859000000,639153859000000,639153859000000,0
cam01,frame_0000000235,25658336,639153875000000,639153875000000,639153875000000,0
cam01,frame_0000000236,25766454,639153968000000,639153968000000,639153968000000,0
cam01,frame_0000000237,25838497,639154078000000,639154078000000,639154078000000,0
cam01,frame_0000000238,25946481,639154171000000,639154171000000,639154171000000,0
cam01,frame_0000000239,26054586,639154265000000,639154265000000,639154265000000,0
cam01,frame_0000000240,26162645,639154375000000,639154375000000,639154375000000,0
cam01,frame_0000000241,26270634,639154468000000,639154468000000,639154468000000,0
cam01,frame_0000000242,26342665,639154578000000,639154578000000,639154578000000,0
cam01,frame_0000000243,26450730,639154671000000,639154671000000,639154671000000,0
cam01,frame_0000000244,26558785,639154765000000,639154765000000,639154765000000,0
cam01,frame_0000000245,26666839,639154875000000,639154875000000,639154875000000,0
cam01,frame_0000000246,26738864,639154968000000,639154968000000,639154968000000,0
cam01,frame_0000000247,26846918,639155078000000,639155078000000,639155078000000,0
cam01,frame_0000000248,26954979,639155171000000,639155171000000,639155171000000,0
cam01,frame_0000000249,27063032,639155265000000,639155265000000,639155265000000,0
cam01,frame_0000000250,27171075,639155375000000,639155375000000,639155375000000,0
cam01,frame_0000000251,27243116,639155468000000,639155468000000,639155468000000,0
cam01,frame_0000000252,27351177,639155578000000,639155578000000,639155578000000,0
cam01,frame_0000000253,27459232,639155671000000,639155671000000,639155671000000,0
cam01,frame_0000000254,27567278,639155765000000,639155765000000,639155765000000,0
imu01,i000018,34116536,639155859000000,639155859000000,639155859000000,0
cam01,frame_0000000255,27675335,639155875000000,639155875000000,639155875000000,0
cam01,frame_0000000256,27747373,639155968000000,639155968000000,639155968000000,0
cam01,frame_0000000257,27855432,639156078000000,639156078000000,639156078000000,0
cam01,frame_0000000258,27963477,639156171000000,639156171000000,639156171000000,0
cam01,frame_0000000259,28071539,639156265000000,639156265000000,639156265000000,0
cam01,frame_0000000260,28143608,639156375000000,639156375000000,639156375000000,0
cam01,frame_0000000261,28251611,639156468000000,639156468000000,639156468000000,0
cam01,frame_0000000262,28359666,639156578000000,639156578000000,639156578000000,0
cam01,frame_0000000263,28467725,639156671000000,639156671000000,639156671000000,0
cam01,frame_0000000264,28539755,639156765000000,639156765000000,639156765000000,0
cam01,frame_0000000265,28647813,639156875000000,639156875000000,639156875000000,0
cam01,frame_0000000266,28755865,639156968000000,639156968000000,639156968000000,0
cam01,frame_0000000267,28863921,639157078000000,639157078000000,639157078000000,0
cam01,frame_0000000268,28935955,639157171000000,639157171000000,639157171000000,0
cam01,frame_0000000269,29044047,639157265000000,639157265000000,639157265000000,0
cam01,frame_0000000270,29152082,639157375000000,639157375000000,639157375000000,0
cam01,frame_0000000271,29260127,639157468000000,639157468000000,639157468000000,0
cam01,frame_0000000272,29368174,639157578000000,639157578000000,639157578000000,0
cam01,frame_0000000273,29476240,639157671000000,639157671000000,639157671000000,0
cam01,frame_0000000274,29548261,639157765000000,639157765000000,639157765000000,0
imu01,i000019,36117531,639157859000000,639157859000000,639157859000000,0
cam01,frame_0000000275,29656317,639157875000000,639157875000000,639157875000000,0
cam01,frame_0000000276,29764371,639157968000000,639157968000000,639157968000000,0
cam01,frame_0000000277,29872417,639158078000000,639158078000000,639158078000000,0
cam01,frame_0000000278,29944448,639158171000000,639158171000000,639158171000000,0
cam01,frame_0000000279,30052519,639158265000000,639158265000000,639158265000000,0
cam01,frame_0000000280,30160569,639158375000000,639158375000000,639158375000000,0
cam01,frame_0000000281,30268625,639158468000000,639158468000000,639158468000000,0
cam01,frame_0000000282,30376770,639158578000000,639158578000000,639158578000000,0
cam01,frame_0000000283,30448784,639158671000000,639158671000000,639158671000000,0
cam01,frame_0000000284,30556839,639158765000000,639158765000000,639158765000000,0
cam01,frame_0000000285,30664821,639158875000000,639158875000000,639158875000000,0
cam01,frame_0000000286,30772865,639158968000000,639158968000000,639158968000000,0
cam01,frame_0000000287,30844907,639159078000000,639159078000000,639159078000000,0
cam01,frame_0000000288,30952962,639159171000000,639159171000000,639159171000000,0
cam01,frame_0000000289,31061017,639159265000000,639159265000000,639159265000000,0
cam01,frame_0000000290,31169074,639159375000000,639159375000000,639159375000000,0
cam01,frame_0000000291,31241119,639159468000000,639159468000000,639159468000000,0
cam01,frame_0000000292,31349169,639159578000000,639159578000000,639159578000000,0
