host_monotonic_ns,t_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
474087234000000,8121,-0.857,-0.026,-0.516,0.09,-0.03,-0.04
474087250000000,8141,-0.858,-0.017,-0.518,0.02,0.09,0.01
474087281000000,8161,-0.854,-0.023,-0.517,-0.04,-0.13,-0.05
474087296000000,8181,-0.86,-0.027,-0.516,-0.07,0.01,-0.1
474087312000000,8201,-0.857,-0.021,-0.515,0.06,0.08,0.11
474087343000000,8221,-0.854,-0.024,-0.516,-0.04,0.04,0.09
474087359000000,8241,-0.852,-0.029,-0.514,-0.05,-0.09,-0.05
474087375000000,8261,-0.858,-0.023,-0.513,0.0,-0.1,-0.06
474087390000000,8281,-0.859,-0.027,-0.515,-0.04,0.18,0.1
474087421000000,8301,-0.857,-0.027,-0.513,-0.04,0.09,0.08
474087437000000,8321,-0.855,-0.023,-0.519,-0.06,-0.06,-0.12
474087453000000,8341,-0.855,-0.023,-0.513,0.01,0.01,-0.03
474087484000000,8361,-0.853,-0.027,-0.517,0.07,0.11,0.09
474087500000000,8381,-0.856,-0.024,-0.513,0.0,0.08,0.07
474087515000000,8401,-0.859,-0.025,-0.516,0.02,-0.14,0.01
474087531000000,8421,-0.854,-0.023,-0.518,0.02,-0.09,-0.05
474087562000000,8441,-0.855,-0.025,-0.517,0.07,0.08,-0.03
474087578000000,8461,-0.859,-0.022,-0.513,0.02,-0.15,0.04
474087593000000,8481,-0.853,-0.023,-0.516,-0.02,-0.08,0.08
474087609000000,8501,-0.855,-0.024,-0.51,0.02,-0.0,-0.01
474087640000000,8521,-0.856,-0.025,-0.515,0.1,0.07,-0.0
474087656000000,8541,-0.858,-0.027,-0.51,0.03,-0.13,-0.02
474087671000000,8561,-0.856,-0.021,-0.518,0.02,-0.04,-0.03
474087703000000,8581,-0.856,-0.027,-0.519,-0.02,0.07,0.04
474087718000000,8601,-0.854,-0.028,-0.515,0.02,0.05,0.07
474087734000000,8621,-0.858,-0.022,-0.517,0.03,0.02,-0.05
474087750000000,8641,-0.856,-0.029,-0.514,0.04,0.04,-0.03
474087781000000,8661,-0.854,-0.025,-0.515,-0.03,0.07,0.05
474087796000000,8681,-0.853,-0.026,-0.511,-0.01,0.15,0.07
474087812000000,8701,-0.858,-0.022,-0.521,-0.11,-0.19,-0.08
474087843000000,8721,-0.854,-0.024,-0.527,-0.05,-0.02,-0.12
474087859000000,8741,-0.859,-0.024,-0.521,0.02,0.17,0.02
474087875000000,8761,-0.857,-0.027,-0.512,0.02,0.12,-0.02
474087890000000,8781,-0.852,-0.025,-0.507,-0.04,-0.15,0.07
474087921000000,8801,-0.859,-0.025,-0.518,-0.03,0.03,-0.05
474087937000000,8821,-0.859,-0.024,-0.517,0.05,0.22,-0.0
474087953000000,8841,-0.853,-0.025,-0.513,-0.1,0.07,0.01
474087984000000,8861,-0.851,-0.021,-0.514,-0.11,-0.15,0.06
474088000000000,8881,-0.853,-0.025,-0.507,0.02,0.14,0.06
474088015000000,8901,-0.859,-0.024,-0.517,0.04,0.08,0.03
474088031000000,8921,-0.859,-0.022,-0.519,0.01,-0.17,-0.17
474088062000000,8941,-0.858,-0.026,-0.524,-0.03,-0.15,0.01
474088078000000,8961,-0.86,-0.024,-0.518,0.06,-0.01,0.08
474088093000000,8981,-0.855,-0.027,-0.514,-0.02,0.06,0.14
474088109000000,9001,-0.857,-0.025,-0.516,0.03,-0.28,-0.14
474088140000000,9021,-0.855,-0.023,-0.513,-0.02,-0.04,-0.01
474088156000000,9041,-0.862,-0.023,-0.514,-0.07,0.05,0.05
474088171000000,9061,-0.853,-0.024,-0.519,-0.05,0.01,0.1
474088203000000,9081,-0.856,-0.026,-0.518,-0.05,-0.1,-0.05
474088218000000,9101,-0.852,-0.025,-0.51,-0.01,-0.02,-0.05
474088234000000,9121,-0.858,-0.023,-0.521,0.09,0.13,0.08
474088250000000,9141,-0.855,-0.017,-0.522,0.0,-0.02,0.02
474088281000000,9161,-0.855,-0.027,-0.518,-0.04,-0.12,-0.04
